"","product_id","flower","variety","days_to_germination","sowing","light_preference","soil_requirements","plant_spacing","hardiness_zones","harvest","uses","scientific_name","alternate_names","plant_height","soil","alternate_name","p_h","tips","transplant","direct_seed","dried","stem_length","scientific_names","vase_life","notes","pelleted_seed","direct_seed_recommended","fresh","note","cut_flowers","edible","soil_requirements_2","uses_2","growing_on","scientific_na_me","light_requirements","use","pods","edible_flowers","special_instructions","disease","note_in_hardiness_zones_9_10","planting_bulbs","storage_temperature","alternate_common_names","selection","store_bulbs_if_you_cant_plant_right_away","note_on_tulips_in_hardiness_zones_8_10","mulch","inspecting_your_bulbs","pests_and_diseases","x","light_preferences"
"1","3432","Ageratum","Timeless MixAgeratum Seed","7-10 days at 75-80°F (24-27°C).","Transplant (recommended): Sow 6-8 weeks before the last frost. Do not cover seed as light aids germination. Bottom water or mist to avoid covering seed with displaced soil. Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant after the danger of frost has passed. No pinching or support is needed. Direct seeding is not recommended.","Sun. Ageratum will tolerate part shade where summers are hot.","Fertile soil with good drainage, and a pH of 5.0-6.0.","9-12"".","Annual.","Fresh: Harvest when flower spikes 3/4 open. Dried: Harvest when flowers are completely open; hang. May be air-dried, but the flower color often fades.","Cut flower or dried flower. Back of beds, borders, and mass plantings.","Ageratum houstonianum","Flossflower, blue mink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1010P","Ageratum","Blue HorizonPelleted (F1) Ageratum Seed","7-10 days at 75-80°F (24-27°C).","Transplant (recommended): Sow 6-8 weeks before the last frost. Do not cover seed as light aids germination. Bottom water or mist to avoid covering seed with displaced soil. Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant after the danger of frost has passed. No pinching or support is needed. Direct seeding is not recommended.","Sun. Ageratum will tolerate part shade where summers are hot.","Fertile soil with good drainage, and a pH of 5.0-6.0.","9-12"".","Annual.","Fresh: Harvest when flower spikes 3/4 open. Dried: Harvest when flowers are completely open; hang. May be air-dried, but the flower color often fades.","Cut flower or dried flower. Back of beds, borders, and mass plantings.","Ageratum houstonianum","Flossflower, blue mink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1835","Ageratum","Tall Blue Planet(F1) Ageratum Seed","7-10 days at 75-80°F (24-27°C).","Transplant (recommended): Sow 6-8 weeks before the last frost. Do not cover seed as light aids germination. Bottom water or mist to avoid covering seed with displaced soil. Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant after the danger of frost has passed. No pinching or support is needed. Direct seeding is not recommended.","Sun. Ageratum will tolerate part shade where summers are hot.","Fertile soil with good drainage, and a pH of 5.0-6.0.","9-12"".","Annual.","Fresh: Harvest when flower spikes 3/4 open. Dried: Harvest when flowers are completely open; hang. May be air-dried, but the flower color often fades.","Cut flower or dried flower. Back of beds, borders, and mass plantings.","Ageratum houstonianum","Flossflower, blue mink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1105","Agrostemma (Corn Cockle)","Ocean PearlsAgrostemma Seed","7-14 days at 60-70°F (16-21°C)","Direct seed (recommended) - As soon as the soil can be worked. Sow 1/8"" deep. Thin to stand 6-9"" apart when first true leaves appear. Transplant - Sow 4-5 weeks before last frost. Sow at 2-3 week intervals until midsummer for continuous bloom. Performs best in cool weather. Corn cockle blooms July to August from an early May sowing.","Sun.",NA,"6-9"".","Annual.","Fresh - 1 to 2 flowers in a spray are open.",NA,"Agrostemma githago",NA,"24-36"".","Rich, well-drained soil.","Corn cockle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1106","Agrostemma (Corn Cockle)","Purple QueenAgrostemma Seed","7-14 days at 60-70°F (16-21°C)","Direct seed (recommended) - As soon as the soil can be worked. Sow 1/8"" deep. Thin to stand 6-9"" apart when first true leaves appear. Transplant - Sow 4-5 weeks before last frost. Sow at 2-3 week intervals until midsummer for continuous bloom. Performs best in cool weather. Corn cockle blooms July to August from an early May sowing.","Sun.",NA,"6-9"".","Annual.","Fresh - 1 to 2 flowers in a spray are open.",NA,"Agrostemma githago",NA,"24-36"".","Rich, well-drained soil.","Corn cockle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1932","Alyssum","Sweet AlyssumFlower Seed","8-10 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 4-5 weeks before last frost. Transplant out after last frost. Sow several seeds per cell or pot. Do not cover as seeds require light to germinate. Harden off seedlings by growing at 50-55°F (10-13°C) night temperatures. Direct seed - Sow as soon as the soil can be worked. In warmer climates, sow midsummer to late winter for blooms that will last until June. Press seed lightly into surface. Thin when seedlings have first true leaves. Where winter temperatures drop below 28°F (-2°C), sow seeds in spring as soon as the soil can be worked.","Sun/Part Shade.","Average, well-drained soil.","6-8"".","Zones 9-11.","Edible flowers - Once flowers are open.","Excellent beneficial plant, edgings, borders, beds, rock gardens, window boxes, and hanging baskets.","Lobularia maritima",NA,"8-16"".",NA,NA,"6-7 preferred.","Flowering may slow in August. Cut the plants back by 1/2 to encourage flowering again once night temperatures cool off.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","3786","Amaranthus","Red SpikeAmaranthus Seed","7-10 days at 70-75°F (21-24°C).","Support may be necessary.","Sun.","Well-drained soil.","12-15"". For upright, plume type, thinner and more manageable stems can be achieved using a tighter spacing of 3-6"".","Annual.","Fresh: Harvest when at least 3/4 of the flowers on the inflorescence are open.","Fresh or dried cut flower, back of bed, accent in borders, and containers.","Amaranthus spp.",NA,NA,NA,NA,NA,NA,"Sow 4-6 weeks before the last frost. Barely cover seed. Bottom water or mist to avoid covering seeds with displaced soil. Harden off by growing at 62-65°F (17-18°C) and transplant outside after last frost.","After last frost, sow thinly, barely covering the seed. When seedlings have first true leaves, thin to 12-15"" apart.","Harvest when seed has begun to set and flowers feel firm to the touch. To dry, hang nontrailing varieties upside down. Stand trailing varieties upright in a bucket or other tall container to maintain the draped appearance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1786","Amaranthus","Emerald TasselsAmaranthus Seed","7-10 days at 70-75°F (21-24°C).","Support may be necessary.","Sun.","Well-drained soil.","12-15"". For upright, plume type, thinner and more manageable stems can be achieved using a tighter spacing of 3-6"".","Annual.","Fresh: Harvest when at least 3/4 of the flowers on the inflorescence are open.","Fresh or dried cut flower, back of bed, accent in borders, and containers.","Amaranthus spp.",NA,NA,NA,NA,NA,NA,"Sow 4-6 weeks before the last frost. Barely cover seed. Bottom water or mist to avoid covering seeds with displaced soil. Harden off by growing at 62-65°F (17-18°C) and transplant outside after last frost.","After last frost, sow thinly, barely covering the seed. When seedlings have first true leaves, thin to 12-15"" apart.","Harvest when seed has begun to set and flowers feel firm to the touch. To dry, hang nontrailing varieties upside down. Stand trailing varieties upright in a bucket or other tall container to maintain the draped appearance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1701","Amaranthus","Coral FountainAmaranthus Seed","7-10 days at 70-75°F (21-24°C).","Support may be necessary.","Sun.","Well-drained soil.","12-15"". For upright, plume type, thinner and more manageable stems can be achieved using a tighter spacing of 3-6"".","Annual.","Fresh: Harvest when at least 3/4 of the flowers on the inflorescence are open.","Fresh or dried cut flower, back of bed, accent in borders, and containers.","Amaranthus spp.",NA,NA,NA,NA,NA,NA,"Sow 4-6 weeks before the last frost. Barely cover seed. Bottom water or mist to avoid covering seeds with displaced soil. Harden off by growing at 62-65°F (17-18°C) and transplant outside after last frost.","After last frost, sow thinly, barely covering the seed. When seedlings have first true leaves, thin to 12-15"" apart.","Harvest when seed has begun to set and flowers feel firm to the touch. To dry, hang nontrailing varieties upside down. Stand trailing varieties upright in a bucket or other tall container to maintain the draped appearance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1676","Amaranthus","Hot BiscuitsAmaranthus Seed","7-10 days at 70-75°F (21-24°C).","Support may be necessary.","Sun.","Well-drained soil.","12-15"". For upright, plume type, thinner and more manageable stems can be achieved using a tighter spacing of 3-6"".","Annual.","Fresh: Harvest when at least 3/4 of the flowers on the inflorescence are open.","Fresh or dried cut flower, back of bed, accent in borders, and containers.","Amaranthus spp.",NA,NA,NA,NA,NA,NA,"Sow 4-6 weeks before the last frost. Barely cover seed. Bottom water or mist to avoid covering seeds with displaced soil. Harden off by growing at 62-65°F (17-18°C) and transplant outside after last frost.","After last frost, sow thinly, barely covering the seed. When seedlings have first true leaves, thin to 12-15"" apart.","Harvest when seed has begun to set and flowers feel firm to the touch. To dry, hang nontrailing varieties upside down. Stand trailing varieties upright in a bucket or other tall container to maintain the draped appearance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
