Crop,Variety,Product ID,Seed supplier,Seed Catalog Qty,Seed Catalog Pricing,Days to Germination,Plant Spacing,sowing
Flower,alyssum - sweet alyssum (tp),1932,johnny's,100,$4.55,8-10 days at 65-70°F (18-21°C),6-8,"Transplant (recommended) - Sow 4-5 weeks before last frost. Transplant out after last frost. Sow several seeds per cell or pot. Do not cover as seeds require light to germinate. Harden off seedlings by growing at 50-55°F (10-13°C) night temperatures. Direct seed - Sow as soon as the soil can be worked. In warmer climates, sow midsummer to late winter for blooms that will last until June. Press seed lightly into surface. Thin when seedlings have first true leaves. Where winter temperatures drop below 28°F (-2°C), sow seeds in spring as soon as the soil can be worked."
Flower,ammi & daucus - green mist (a),1758G,johnny's,100,$4.55,12-16 days at 60-65°F (16-18°C),3-12,"Direct seed (recommended) - In early spring after last frost (sow in the fall in the South). Sow seed thinly in rows, covering lightly. Make 2-3 successive sowings, 2 weeks apart for a continuous summer harvest. Transplant - Sow 4-6 weeks before planting out. When first true leaves appear, transplant into larger containers. Harden off and transplant outdoors after last frost. Tips: chill seed at 40-45°F(5-8°C) for 1-2 weeks prior to sowing in the greenhouse. Cooler temperatures of 58-62°F(14-17°C) are best for seedling establishment. Support may be needed if grown in windy areas."
Flower,ammi & daucus - dara (a),1968,johnny's,100,$4.10,12-16 days at 60-65°F (16-18°C),3-12,"Direct seed (recommended) - In early spring after last frost (sow in the fall in the South). Sow seed thinly in rows, covering lightly. Make 2-3 successive sowings, 2 weeks apart for a continuous summer harvest. Transplant - Sow 4-6 weeks before planting out. When first true leaves appear, transplant into larger containers. Harden off and transplant outdoors after last frost. Tips: chill seed at 40-45°F(5-8°C) for 1-2 weeks prior to sowing in the greenhouse. Cooler temperatures of 58-62°F(14-17°C) are best for seedling establishment. Support may be needed if grown in windy areas."
Flower,ammi & daucus - dara (a),1968,johnny's,100,$4.10,12-16 days at 60-65°F (16-18°C),3-12,"Direct seed (recommended) - In early spring after last frost (sow in the fall in the South). Sow seed thinly in rows, covering lightly. Make 2-3 successive sowings, 2 weeks apart for a continuous summer harvest. Transplant - Sow 4-6 weeks before planting out. When first true leaves appear, transplant into larger containers. Harden off and transplant outdoors after last frost. Tips: chill seed at 40-45°F(5-8°C) for 1-2 weeks prior to sowing in the greenhouse. Cooler temperatures of 58-62°F(14-17°C) are best for seedling establishment. Support may be needed if grown in windy areas."
Flower,amaranthus - red spike (a),3786,johnny's,100,$4.55,7-10 days at 70-75°F (21-24°C).,3-6,Support may be necessary.
Flower,"aster, china - tower custom mix",1833,johnny's,50,$4.55,10-14 days at 70-72°F (21-22°C),6-12,"Transplant (recommended) - Sow 1/8"" deep in flats indoors 6-8 weeks before last frost. Direct seed - After last frost. Provide support. Row covers help prevent spread of disease by leafhoppers."
Flower,"aster, china - brunhilde chamois",3500,johnny's,50,$4.10,10-14 days at 70-72°F (21-22°C),6-12,"Transplant (recommended) - Sow 1/8"" deep in flats indoors 6-8 weeks before last frost. Direct seed - After last frost. Provide support. Row covers help prevent spread of disease by leafhoppers."
Flower,broom corn - colored uprights,1624,johnny's,100,$4.55,NA,NA,NA
Flower,celosia - pampas plume (a),1203,johnny's,100,$4.55,8-14 days at 70-80°F (21-27°C).,6-12,Transplant: Sow 6-8 weeks before the last frost. Do not cover as light is required for germination. Bottom water or mist lightly to avoid covering the seeds with displaced soil. Grow seedlings at 63-68°F (17-20°C). Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant outside when the danger of frost has passed. Low temperatures and less than 12 hours of light can cause premature flowering.
Flower,celosia - sylphid (a),1834,johnny's,25,$4.55,8-14 days at 70-80°F (21-27°C).,6-12,Transplant: Sow 6-8 weeks before the last frost. Do not cover as light is required for germination. Bottom water or mist lightly to avoid covering the seeds with displaced soil. Grow seedlings at 63-68°F (17-20°C). Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant outside when the danger of frost has passed. Low temperatures and less than 12 hours of light can cause premature flowering.
Flower,craspedia - sun ball (tp),1771G,johnny's,100,$4.75,14-18 days at 70-75°F (21-24°C).,12,Transplant (recommended): Sow 6-8 weeks before the last frost. Cover seeds lightly with vermiculite. Transplant into cell packs or larger containers when seedlings have their second set of true leaves. Harden off and transplant outside after last frost. Support may be needed to ensure straight stems.
Flower,cynoglossum - chinese forget-me-not,1931,johnny's,100,$4.55,5-8 days at 65-70°F (18-21°C),9-12,Transplant - Sow 3-4 weeks before last frost. Transplant out after last frost. Direct seed - Sow as soon as soil can be worked. Cover seeds lightly with soil as darkness is required for germination.
Flower,dahlia - giant hybrid mix,3397,johnny's,50,$4.10,3-5 days at 65-70°F (18-21°C),9-12,"Transplant (recommended) - Sow 4-5 weeks before last frost. Cover seed with growing medium and keep soil surface moist until emergence. When seedlings have true leaves, transplant into larger cell packs. To maintain healthy seedlings, do not allow plants to become root bound and do not disturb roots. Direct seed - After last frost when soil is 65–70°F/18–21°C, sow thinly, 2 seeds/ft, 1/4"" deep. Cover lightly but firmly. Keep surface moist until emergence. Thin to 9-12"" after first true leaves appear."
Flower,delphinium - magic fountains mix (p),1488,johnny's,50,$4.55,10-20 days at 65-70°F (18-21°C),12,"Transplant (recommended) - Sow 10-16 weeks before last frost. Support strongly advised. Cover seed lightly. Transplant into larger cell packs or 3-4"" containers 6-8 weeks after germination. Grow seedlings at 50-55°F (18-21°C) in the greenhouse or cold frames. Harden off and transplant outside after the last frost. Overhead irrigation is not advised. If growing in the greenhouse, transplant plugs into raised bed in August through September. Provide Hortonova (horizontal trellis) 12-18"" above the beds. Keep temperatures below 60°F (16°C), in a heated structure. Feed with a balanced fertilizer. Direct seeding is not recommended."
Flower,didiscus - lacy series (a) - pink,3778,johnny's,100,$4.10,14-21 days at 70-72°F (21-22°C),6-12,"Direct seed (recommended) - After last frost. Cover seeds as darkness aids germination. Transplant - Sow 4–6 weeks before last frost. Successive sowing every 2-3 weeks, spring through summer. While transplanting is possible, plants dislike root disturbance so we recommend seeding directly into the soil for best results."
Flower,dianthus - orange sherbert,3711,johnny's,100,$4.10,7-14 days at 65-72°F (18-22°C),6,"Transplant (recommended) - Sow 6-8 weeks before last frost. Lightly press seed into growing medium. Transplant into cell packs or 3-4"" containers 20-25 days after sowing. Harden off and transplant out. Cool temperatures of 50-55°F (10-13°C) are required to keep the plants low growing and basal branching. Avoid warm temperatures in excess of 65°F (18°C), especially at night, which will product soft growth. Direct seed - Early spring when a light frost is still possible."
Flower,dusty miller - silverdust,4538P,johnny's,50,$4.10,7-10 days at 72-75°F (22-24°C).,9-12,Transplant (recommended): Sow 8-10 weeks before last frost. Do not cover seed as light is required for germination; a light covering of vermiculite may be used to help maintain moisture. Bottom water or mist to avoid covering the seed with displaced soil. Transplant into cell packs or larger containers when the first true leaves appear. Keep the foliage dry if possible and avoid watering late in the day to reduce the risk of Alternaria. Direct seeding is not recommended.
Flower,"grasses, ornamental - black tip wheat (a)",1595,johnny's,100,$4.55,5-10 days at 60-70°F (16-21°C).,1-2,"Direct seed (recommended): Sow about 4 weeks before the last frost date. Sow seeds 1/4"" deep, 1-2"" apart. Large-scale plantings may be broadcast sown or drilled with a grain drill."
Flower,"grasses, ornamental - feathertop",1584,johnny's,100,$4.55,10-14 days at 65-70°F (18-21°C).,12-18,"Transplant (recommended): Sow 8-12 weeks before last frost. Transplant into cell packs or 3-4"" containers when seedlings have the second or third set of leaves. Transplant outside after the last frost. Direct seed: After last frost."
